id,faixa_etaria,profissao,cidade,estado
1,36-45,Professor,Caxias do Sul,RS
2,60+,Professor,Curitiba,PR
3,46-60,Auxiliar Administrativo,Salvador,BA
4,26-35,Administrador,Curitiba,PR
5,60+,Auxiliar Administrativo,Londrina,PR
6,46-60,Engenheiro,Salvador,BA
7,36-45,Programador,Caxias do Sul,RS
8,46-60,Programador,Campinas,SP
9,26-35,Professor,Londrina,PR
10,60+,Enfermeiro,Feira de Santana,BA
11,26-35,Professor,Campinas,SP
12,18-25,Administrador,Campinas,SP
13,26-35,Enfermeiro,São Paulo,SP
14,36-45,Engenheiro,Salvador,BA
15,26-35,Estudante,Niterói,RJ
16,46-60,Engenheiro,Rio de Janeiro,RJ
17,26-35,Engenheiro,Curitiba,PR
18,36-45,Professor,Rio de Janeiro,RJ
19,26-35,Estudante,Londrina,PR
20,36-45,Vendedor,Porto Alegre,RS
21,60+,Contador,Campinas,SP
22,60+,Técnico em Enfermagem,Belo Horizonte,MG
23,60+,Analista de Sistemas,Niterói,RJ
24,36-45,Vendedor,Campinas,SP
25,60+,Professor,Caxias do Sul,RS
26,26-35,Técnico em Enfermagem,Salvador,BA
27,60+,Programador,Caxias do Sul,RS
28,36-45,Analista de Sistemas,Caxias do Sul,RS
29,26-35,Auxiliar Administrativo,Campinas,SP
30,60+,Administrador,Campinas,SP
31,60+,Técnico em Enfermagem,Curitiba,PR
32,18-25,Professor,Campinas,SP
33,26-35,Vendedor,Caxias do Sul,RS
34,60+,Vendedor,Caxias do Sul,RS
35,26-35,Estudante,Porto Alegre,RS
36,36-45,Analista de Sistemas,Porto Alegre,RS
37,60+,Administrador,Feira de Santana,BA
38,18-25,Administrador,Rio de Janeiro,RJ
39,46-60,Vendedor,Caxias do Sul,RS
40,46-60,Enfermeiro,Belo Horizonte,MG
41,26-35,Vendedor,Uberlândia,MG
42,60+,Engenheiro,Uberlândia,MG
43,46-60,Estudante,Salvador,BA
44,36-45,Técnico em Enfermagem,São Paulo,SP
45,60+,Professor,Salvador,BA
46,26-35,Enfermeiro,Uberlândia,MG
47,26-35,Enfermeiro,Caxias do Sul,RS
48,26-35,Engenheiro,Curitiba,PR
49,26-35,Engenheiro,Curitiba,PR
50,18-25,Vendedor,Caxias do Sul,RS
51,60+,Enfermeiro,Campinas,SP
52,18-25,Programador,Rio de Janeiro,RJ
53,36-45,Técnico em Enfermagem,Niterói,RJ
54,60+,Engenheiro,Caxias do Sul,RS
55,46-60,Auxiliar Administrativo,Niterói,RJ
56,60+,Contador,Curitiba,PR
57,46-60,Estudante,Rio de Janeiro,RJ
58,26-35,Engenheiro,Uberlândia,MG
59,60+,Auxiliar Administrativo,São Paulo,SP
60,36-45,Professor,Niterói,RJ
61,46-60,Vendedor,Rio de Janeiro,RJ
62,26-35,Estudante,Rio de Janeiro,RJ
63,26-35,Enfermeiro,Salvador,BA
64,26-35,Programador,Curitiba,PR
65,26-35,Programador,Feira de Santana,BA
66,46-60,Administrador,Feira de Santana,BA
67,46-60,Professor,Uberlândia,MG
68,60+,Professor,Feira de Santana,BA
69,18-25,Analista de Sistemas,Curitiba,PR
70,60+,Analista de Sistemas,Caxias do Sul,RS
71,26-35,Enfermeiro,Niterói,RJ
72,36-45,Estudante,Niterói,RJ
73,36-45,Técnico em Enfermagem,Feira de Santana,BA
74,36-45,Enfermeiro,Porto Alegre,RS
75,60+,Analista de Sistemas,Curitiba,PR
76,26-35,Engenheiro,Belo Horizonte,MG
77,60+,Professor,Londrina,PR
78,18-25,Professor,Niterói,RJ
79,26-35,Contador,São Paulo,SP
80,60+,Contador,Londrina,PR
81,18-25,Técnico em Enfermagem,Feira de Santana,BA
82,46-60,Estudante,Niterói,RJ
83,36-45,Professor,Rio de Janeiro,RJ
